Year,UK Average National Income,CY Average National Income,UK GDP per Capita,CY GDP per Capita
1970,16470.4811,10836.071,18049.9382,11365.6425
1971,16577.9986,11978.2129,18231.2677,12562.7137
1972,17000.0673,12517.3426,18849.2683,13130.6389
1973,17346.5237,11795.2766,19356.8509,13158.8295
1974,17374.3282,11805.1978,19375.1539,13180.3656
1975,15301.9909,9777.533,17318.3191,10933.3467
1976,16653.0108,11871.2581,19043.1999,13185.6892
1977,17178.0963,13977.3242,19679.7035,15242.5125
1978,17750.2894,14764.8455,20638.1595,16197.1204
1979,17737.6873,15789.3855,20620.6566,17462.0668
1980,17132.3888,16232.6914,20049.4637,18039.5502
1981,17925.1179,16226.2789,21117.2375,18259.9932
1982,18225.3667,16971.8169,21488.1979,19132.3283
1983,18995.092,17370.7196,22394.2453,19898.0715
1984,19781.52,18601.9098,23089.4585,21274.9332
1985,19982.3527,19168.9881,23215.7791,21973.0432
1986,20786.3836,19261.5452,24229.6441,22560.5687
1987,21150.3429,20451.5989,24571.7998,23902.4645
1988,21691.531,21966.3888,25297.918,25671.8164
1989,22458.9559,23443.3089,25960.4258,27259.3211
1990,22633.3843,24640.3801,26197.9645,28624.4468
1991,22791.51,24176.2639,26534.5193,28065.8378
1992,23058.4535,25721.5432,26879.9755,29885.5214
1993,23548.3332,25224.2759,27075.0073,29285.292
1994,24457.0811,25989.1722,28058.2673,30221.5096
1995,25563.1612,26814.5633,28942.2112,31947.4263
1996,25764.3939,26714.0209,29344.6767,31879.6721
1997,26883.7761,26866.2258,30472.8604,32213.3614
1998,28318.3097,30845.453,31827.2809,33612.7272
1999,30251.3243,29235.8072,33186.102,34676.5888
2000,30511.2666,29833.8589,34072.7464,36061.5568
2001,31509.029,31087.6741,35164.3241,36898.6839
2002,32082.4224,32063.4553,35667.706,37596.189
2003,32938.5617,32535.9197,36539.1479,37841.5559
2004,33734.4913,33469.2335,37354.8806,38829.0731
2005,34157.3601,34437.9973,37963.7798,39742.1816
2006,34570.4274,35493.0267,38203.1187,40742.0397
2007,34898.6808,37524.8051,38979.9452,41727.1371
2008,35873.2395,36768.3781,39669.2574,41939.2319
2009,36048.868,35005.9225,39364.1077,39719.5566
2010,33101.1882,33982.2295,36749.5821,39144.8559
2011,33456.8461,34709.861,37205.5563,38176.0922
2012,32480.1871,31407.2077,37443.5951,36138.1432
2013,32938.9618,28827.3463,38039.292,33649.992
2014,33229.5091,28271.5201,38510.5688,33176.5597
2015,33957.1276,29611.601,39104.8655,34210.2949
2016,34181.9641,30472.563,39563.2401,36163.5511
2017,34761.2584,32533.9839,40024.1151,37827.8841
2018,35054.9062,34094.5078,40282.5572,39416.2356
2019,34594.9314,33876.6055,40609.7105,40201.9421
2020,30698.9972,31451.4899,36368.32,37739.3197
2021,32727.1273,23586.4396,38120.7053,27915.4477
